"","LHS2","LHS1","RHS","lift","support","confidence","coverage","count","oddsRatio","addVal","fisher.padj_holm","OR_lowerCI","kappa","fisher.p","Cluster_gupta4","Cat1","Cat2"
"21","cebq34_gRarely","cebq20_gSometimes","loc1=Yes",2.22054054054054,0.0822784810126582,0.52,0.158227848101266,13,4.92013888888889,0.285822784810127,0.0091,1.9993221066728,0.284168134910647,0.000632807905807952,4,"gS_EF","gR_FR"
"22","cebq34_gRarely","cfq26=Disagree","loc1=Yes",2.91154791154791,0.0949367088607595,0.681818181818182,0.139240506329114,15,11.1038961038961,0.447640966628308,1e-04,4.0580648132164,0.404471016376397,1.42929638225041e-06,1,"lsPE","gR_FR"
"23","cebq34_gRarely","cAge_7.9yr","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"cAge_7.9yr","gR_FR"
"24","cebq34_gRarely","cebq13_lsSometimes","loc1=Yes",2.22054054054054,0.0822784810126582,0.52,0.158227848101266,13,4.92013888888889,0.285822784810127,0.0091,1.9993221066728,0.284168134910647,0.000632807905807952,4,"lsS_EOE","gR_FR"
"25","cebq34_gRarely","cfq28=Disagree","loc1=Yes",2.71744471744472,0.0886075949367089,0.636363636363636,0.139240506329114,14,8.59782608695652,0.402186421173763,6e-04,3.23474437247747,0.363400051988563,1.3623421727525e-05,2,"lsPE","gR_FR"
"26","cebq34_gRarely","cebq22_gSometimes","loc1=Yes",2.13513513513514,0.0949367088607595,0.5,0.189873417721519,15,4.81818181818182,0.265822784810127,0.0072,2.05866895224429,0.301219220655032,0.000342776027812484,3,"gS_EF","gR_FR"
"27","cebq34_gRarely","cebq5_gSometimes","loc1=Yes",2.37237237237237,0.0949367088607595,0.555555555555556,0.170886075949367,15,6.19318181818182,0.321378340365682,0.002,2.55186617067343,0.337934434311067,6.38421793835645e-05,2,"gS_EF","gR_FR"
"28","cebq34_gRarely","cebq25_lsSometimes","loc1=Yes",2.41363102232667,0.0822784810126582,0.565217391304348,0.145569620253165,13,6.0125,0.331040176114474,0.0051,2.36027311535617,0.309334019028028,0.000198549059425536,3,"lsS_EUE","gR_FR"
"29","cebq7_gSometimes","cebq1_gSometimes","loc1=Yes",2.46361746361746,0.0949367088607595,0.576923076923077,0.164556962025316,15,6.81818181818182,0.342745861733203,0.0012,2.76456449227242,0.350684931506849,3.35365318907543e-05,2,"gS_EF","gS_FF"
"30","cfq20_gNeutralAD","cebq34_gRarely","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"gR_FR","gN_Rest"
"31","cfq21_lsNeutralAD","cfq20=Agree","loc1=Yes",2.49099099099099,0.0886075949367089,0.583333333333333,0.151898734177215,14,6.75652173913043,0.34915611814346,0.002,2.67257169293277,0.336809972017298,5.94578948084843e-05,2,"gRest","lsN_Rest"
"32","cfq23_lsNeutralAD","cfq14_lsNeutralCon","loc1=Yes",2.13513513513514,0.0886075949367089,0.5,0.177215189873418,14,4.65217391304348,0.265822784810127,0.0091,1.95484638289089,0.28689924371798,0.000608055598581156,3,"lsN_Conc","lsN_Rest"
"33","cfq23_lsNeutralAD","cAge_7.9yr","loc1=Yes",2.21421421421421,0.0886075949367089,0.518518518518518,0.170886075949367,14,5.05685618729097,0.284341303328645,0.0072,2.09975953524126,0.298989401035248,0.000362134890324505,3,"cAge_7.9yr","lsN_Rest"
"34","cfq23_lsNeutralAD","cebq21_gRarely","loc1=Yes",2.41363102232667,0.0822784810126582,0.565217391304348,0.145569620253165,13,6.0125,0.331040176114474,0.0051,2.36027311535617,0.309334019028028,0.000198549059425536,4,"gR_SR","lsN_Rest"
"35","cfq23_lsNeutralAD","cfq14=Unconcerned","loc1=Yes",2.22054054054054,0.0822784810126582,0.52,0.158227848101266,13,4.92013888888889,0.285822784810127,0.0091,1.9993221066728,0.284168134910647,0.000632807905807952,2,"lsConc","lsN_Rest"
"36","cfq25_lsNeutralAD","cBMI_OWOB","loc1=Yes",2.13513513513514,0.0886075949367089,0.5,0.177215189873418,14,4.65217391304348,0.265822784810127,0.0091,1.95484638289089,0.28689924371798,0.000608055598581156,3,"cBMI_OWOB","lsN_PE"
"37","cfq26_lsNeutralAD","cebq27_gSometimes","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"gS_EOE","lsN_PE"
"38","cfq26_lsNeutralAD","cebq34_gRarely","loc1=Yes",2.44015444015444,0.10126582278481,0.571428571428571,0.177215189873418,16,6.92063492063492,0.337251356238698,8e-04,2.8640355197325,0.36399121737009,1.84531103905158e-05,2,"gR_FR","lsN_PE"
"39","cfq26_lsNeutralAD","cebq33_gSometimes","loc1=Yes",2.21421421421421,0.0886075949367089,0.518518518518518,0.170886075949367,14,5.05685618729097,0.284341303328645,0.0072,2.09975953524126,0.298989401035248,0.000362134890324505,3,"gS_FF","lsN_PE"
"40","cfq26_lsNeutralAD","cebq7_gSometimes","loc1=Yes",2.21421421421421,0.0886075949367089,0.518518518518518,0.170886075949367,14,5.05685618729097,0.284341303328645,0.0072,2.09975953524126,0.298989401035248,0.000362134890324505,3,"gS_FF","lsN_PE"
"41","cfq26=Disagree","cfq20=Agree","loc1=Yes",2.35601118359739,0.10126582278481,0.551724137931034,0.183544303797468,16,6.32967032967033,0.317546922741161,0.0013,2.65608246316219,0.351364404733156,3.49972917512957e-05,2,"gRest","lsPE"
"42","cfq26=Disagree","cBMI_OWOB","loc1=Yes",2.2993762993763,0.0886075949367089,0.538461538461538,0.164556962025316,14,5.52898550724638,0.304284323271665,0.0051,2.26452690592339,0.311332503113325,0.000207464595762535,3,"cBMI_OWOB","lsPE"
"43","cfq26=Disagree","mBMI_OBOW","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"mBMI_OBOW","lsPE"
"44","cfq27_lsNeutralAD","cebq34_gRarely","loc1=Yes",2.84684684684685,0.0886075949367089,0.666666666666667,0.132911392405063,14,9.91304347826087,0.432489451476793,3e-04,3.60369587285193,0.377135348226018,5.86352378053206e-06,2,"gR_FR","lsN_PE"
"45","cfq28_lsNeutralAD","cebq7_gSometimes","loc1=Yes",2.49099099099099,0.0886075949367089,0.583333333333333,0.151898734177215,14,6.75652173913043,0.34915611814346,0.002,2.67257169293277,0.336809972017298,5.94578948084843e-05,2,"gS_FF","lsN_PE"
"46","cfq28_lsNeutralAD","cebq27_gSometimes","loc1=Yes",2.22054054054054,0.0822784810126582,0.52,0.158227848101266,13,4.92013888888889,0.285822784810127,0.0091,1.9993221066728,0.284168134910647,0.000632807905807952,4,"gS_EOE","lsN_PE"
"47","cfq28_lsNeutralAD","cebq33_gSometimes","loc1=Yes",2.39135135135135,0.0886075949367089,0.56,0.158227848101266,14,6.08695652173913,0.325822784810127,0.0032,2.45353668238437,0.323936571860055,0.0001138110229085,3,"gS_FF","lsN_PE"
"48","cfq28_lsNeutralAD","cebq34_gRarely","loc1=Yes",2.35601118359739,0.10126582278481,0.551724137931034,0.183544303797468,16,6.32967032967033,0.317546922741161,0.0013,2.65608246316219,0.351364404733156,3.49972917512957e-05,2,"gR_FR","lsN_PE"
